exec_date,BUY,SELL
2017-09-16,21535.0,21048.0
2017-09-17,12104.0,10910.0
2017-09-18,17183.0,11026.0
2017-09-19,17490.0,11209.0
2017-09-20,13836.0,7481.0
2017-09-21,10624.0,8866.0
2017-09-22,14310.0,11539.0
2017-09-23,10647.0,8214.0
2017-09-24,9297.0,6250.0
2017-09-25,9478.0,4257.0
2017-09-26,10035.0,5150.0
2017-09-27,11705.0,6661.0
2017-09-28,13579.0,9299.0
2017-09-29,11315.0,8788.0
2017-09-30,10931.0,9746.0
2017-10-01,11512.0,11967.0
2017-10-02,14049.0,12189.0
2017-10-03,12539.0,13105.0
2017-10-04,10917.0,12448.0
2017-10-05,11713.0,11189.0
2017-10-06,10464.0,10101.0
2017-10-07,7284.0,8531.0
